what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1335054252548
error,log,,,"Core exception while retrieving the content description",1335054252551
error,log,,,"Core exception while retrieving the content description",1335054252552
started,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1335054252563
started,bundle,org.jboss.tools.jst.jsp,3.3.0.v20120302-0221-H55-Beta1,"org.jboss.tools.jst.jsp",1335054252637
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1335054252662
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1335054252667
started,bundle,org.hibernate.eclipse.mapper,3.4.0.v20120307-2104-H60-Beta1,"org.hibernate.eclipse.mapper",1335054252669
started,bundle,org.jboss.tools.common.text.xml,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.text.xml",1335054252716
error,log,,,"Unable to parse file 'src\\main\\webapp\\WEB-INF\\web.xml' to find <servlet-mapping> elements",1335054252794
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1335054252894
started,bundle,org.eclipse.wst.xsl.ui,1.1.200.v201103082057,"org.eclipse.wst.xsl.ui",1335054252929
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1335054253098
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1335054253179
opened,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1335054253521
activated,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1335054253582
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054253636
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054253638
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054253687
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054253688
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054253691
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054253692
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054253718
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054253719
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054254055
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054254056
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1335054255958
closed,editor,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor.MavenPomEditor",1335054255958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335054257701
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335054264012
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1335054264224
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1335054264225
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1335054264232
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1335054264232
started,bundle,org.jboss.tools.common.verification.ui,3.3.0.v20120302-0132-H47-Beta1,"org.jboss.tools.common.verification.ui",1335054264243
started,bundle,org.codehaus.groovy.eclipse.core,2.6.1.xx-20120301-1000-e37-RELEASE,"org.codehaus.groovy.eclipse.core",1335054264270
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1335054264301
started,bundle,org.codehaus.groovy.eclipse.ui,2.6.1.xx-20120301-1000-e37-RELEASE,"org.codehaus.groovy.eclipse.ui",1335054264302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335054266972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335054269665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335054270796
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054271181
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054271183
error,log,,,"The resource tree is locked for modifications.",1335054278486
error,log,,,"The resource tree is locked for modifications.",1335054278522
error,log,,,"Failed to initialize Git team provider.",1335054278588
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054278646
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054278648
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054278657
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054278658
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054278661
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054278662
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054278685
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054278686
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054279756
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054279798
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054279891
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054279892
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054279905
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054279906
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054279908
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054279909
error,log,,,"The resource tree is locked for modifications.",1335054283669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335054283734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1335054286314
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1335054286341
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.web for object P/Museo",1335054286342
